Fri Mar 14 15:57:28 2025    financial.prof

         312307 function calls (312143 primitive calls) in 2.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1416    0.001    0.000    0.001    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:906(_linkage_fixer)
      424    0.001    0.000    0.003    0.000 {method 'sub' of 're.Pattern' objects}
      299    0.001    0.000    1.918    0.006 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/socket.py:706(readinto)
     8333    0.001    0.000    0.001    0.000 {method 'startswith' of 'str' objects}
       64    0.001    0.000    0.005    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/filter.py:129(filter)
     2614    0.001    0.000    0.002    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/builder/_htmlparser.py:222(handle_data)
     5862    0.001    0.000    0.004    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/__init__.py:122(unescape)
     5496    0.001    0.000    0.001    0.000 {method 'start' of 're.Match' objects}
8403/8377    0.001    0.000    0.001    0.000 {built-in method builtins.len}
       11    0.001    0.000    0.800    0.073 {method 'join' of 'bytes' objects}
     3554    0.001    0.000    0.003    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/filter.py:717(match)
     2739    0.001    0.000    0.001    0.000 {built-in method __new__ of type object at 0x1038c7cf0}
     2692    0.001    0.000    0.001    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/element.py:1812(is_empty_element)
