Fri Mar 14 18:26:39 2025    financial.prof

         375451 function calls (373536 primitive calls) in 1.899 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      264    0.001    0.000    0.004    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/h11/_connection.py:260(_process_event)
     2692    0.001    0.000    0.002    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:786(popTag)
     4327    0.001    0.000    0.001    0.000 {method 'join' of 'str' objects}
     2691    0.001    0.000    0.012    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/bs4/__init__.py:1053(handle_endtag)
6108/6099    0.001    0.000    0.003    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/typing.py:426(inner)
      874    0.001    0.000    0.002    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/contextlib.py:108(__init__)
      219    0.001    0.000    0.003    0.000 {built-in method builtins.__build_class__}
     2692    0.001    0.000    0.005    0.000 /opt/homebrew/Cellar/python@3.13/3.13.2/Frameworks/Python.framework/Versions/3.13/lib/python3.13/html/parser.py:345(check_for_whole_start_tag)
      562    0.001    0.000    0.007    0.000 /Users/haxarasu/Code/school_21/DS_bootcamp/DS_Bootcamp.Day03-1/ex04/salvados/lib/python3.13/site-packages/h11/_connection.py:398(_extract_next_receive_event)
        2    0.001    0.001    0.001    0.001 {built-in method _codecs.utf_8_decode}
     2212    0.001    0.000    0.001    0.000 {method 'findall' of 're.Pattern' objects}
      306    0.001    0.000    0.001    0.000 {method 'settimeout' of '_socket.socket' objects}
       59    0.001    0.000    0.001    0.000 {method 'fullmatch' of 're.Pattern' objects}
